================================================================================
Marvel Contest of Champions - チャンピオン一覧 (642グループ)
================================================================================
チャンピオン名                                IDプレフィックス     エントリー数
--------------------------------------------------------------------------------
Tutorial Data                                a1                  142
Abomination (Immortal)                       abim                78
(不明)                                         abm                 1
(不明)                                         abmntn              5
(不明)                                         abrk                1
Adam Warlock                                 adam                191
(不明)                                         adph                12
Aegon                                        aeg                 149
Agent Venom                                  agv                 23
America Chavez                               amcha               132
Amra                                         amra                252
(不明)                                         ang                 49
Annihilus                                    anni                63
Ant-Man (Future Variant)                     antfu               131
(不明)                                         anti                1
Anti-Venom                                   antisbt             160
(不明)                                         antivnm             117
(不明)                                         antm                19
(不明)                                         antu                47
Act of Legacy (Content)                      aol                 3253
(不明)                                         apfoo               70
Apocalypse                                   apo                 135
(不明)                                         aq                  455
Arcade                                       arc                 167
(不明)                                         archa               45
Ares                                         ares                209
Archangel                                    atma                214
White Tiger (Ava Ayala)                      ava                 463
Avengers (Synergy/Content)                   ave                 431
(不明)                                         avs                 1
Alliance vs X-Men (Content)                  avx                 1271
Alliance War (Content)                       aw                  324
(不明)                                         awes                74
(不明)                                         awlk                142
Bast                                         bast                154
(不明)                                         bc                  6
(不明)                                         bcar                44
Beast                                        beast               5
(不明)                                         bg                  32
Black Hammer (Boss)                          bhmt                280
(不明)                                         biggame             4
(不明)                                         bish                31
Bishop                                       bishn               123
Blade                                        blade               46
(不明)                                         bladesf             73
(不明)                                         blct                135
(不明)                                         blkblt              20
(不明)                                         blkpanther          55
(不明)                                         blkpnthr            10
(不明)                                         blkwidw             11
(不明)                                         block               1
Blue Marvel                                  blumrvl             140
Bong (Boss)                                  bong                128
(不明)                                         boost               5
(不明)                                         bpu                 87
(不明)                                         bst                 57
(不明)                                         btrbll              117
Bullseye                                     bull                167
(不明)                                         bv                  66
(不明)                                         bwmcu               86
Captain Britain                              capb                106
(不明)                                         capiw               68
Captain America (Sam Wilson)                 capsw               147
(不明)                                         car                 34
Carl (Boss)                                  carl                166
Serpent (Car Boss)                           carserp             348
(不明)                                         cass                20
Cassie Lang                                  cassie              122
(不明)                                         cbl                 49
Ceras (Boss)                                 ceras               293
(不明)                                         cf                  23
(不明)                                         cgr                 70
(不明)                                         champ               6
(不明)                                         cheat               5
(不明)                                         chlth               104
(不明)                                         clb                 3
(不明)                                         clclps              6
(不明)                                         close               12
(不明)                                         clsun               18
(不明)                                         clsus               10
Count Nefaria                                cnef                145
Nova (Captain)                               cnova               156
Colossus                                     col                 279
(不明)                                         coldf               9
(不明)                                         colos               51
(不明)                                         combat              1
(不明)                                         corvus              69
